Count	V_gene	J_gene
5	IGHV1-18*03	IGHJ3*02
5	IGHV1-2*03	IGHJ6*02
5	IGHV1-3*03	IGHJ1*01
5	IGHV1-45*02	IGHJ1*01
5	IGHV1-45*03	IGHJ4*01
5	IGHV1-46*04	IGHJ3*01
5	IGHV1-58*02	IGHJ6*03
5	IGHV1-58*03	IGHJ3*01
5	IGHV1-69*08	IGHJ1*01
5	IGHV1-NL1*01	IGHJ6*03
5	IGHV2-26*03	IGHJ3*02
5	IGHV2-26*03	IGHJ6*04
5	IGHV2-5*01	IGHJ5*03
5	IGHV2-70*10	IGHJ6*03
5	IGHV3-11*05	IGHJ2*01
5	IGHV3-15*08	IGHJ6*03
5	IGHV3-19*03	IGHJ3*01
5	IGHV3-20*05	IGHJ3*01
5	IGHV3-25*01	IGHJ6*03
5	IGHV3-30*08	IGHJ3*01
5	IGHV3-30-33*02	IGHJ3*02
5	IGHV3-30-52*01	IGHJ4*01
5	IGHV3-30-52*01	IGHJ6*01
5	IGHV3-30-52*01	IGHJ6*02
5	IGHV3-32*01	IGHJ3*02
5	IGHV3-35*01	IGHJ6*01
5	IGHV3-47*01	IGHJ6*04
5	IGHV3-54*02	IGHJ6*04
5	IGHV3-62*01	IGHJ3*02
5	IGHV3-62*03	IGHJ3*02
5	IGHV3-62*04	IGHJ6*02
5	IGHV3-63*02	IGHJ5*03
5	IGHV3-63*03	IGHJ5*01
5	IGHV3-64*02	IGHJ6*02
5	IGHV3-72*01	IGHJ1*01
5	IGHV3-9*02	IGHJ2*01
5	IGHV3-9*02	IGHJ6*04
5	IGHV3-9*04	IGHJ6*03
5	IGHV4-30-2*01	IGHJ4*01
5	IGHV4-30-2*03	IGHJ3*02
5	IGHV4-30-4*02	IGHJ6*04
5	IGHV4-59*05	IGHJ3*01
5	IGHV5-10-1*03	IGHJ6*01
5	IGHV5-10-1*04	IGHJ3*01
5	IGHV5-10-1*04	IGHJ6*01
5	IGHV5-51*06	IGHJ3*01
5	IGHV6-1*03	IGHJ1*01
5	IGHV6-1*03	IGHJ3*01
5	IGHV6-1*03	IGHJ3*02
5	IGHV7-34-1*01	IGHJ6*03
5	IGHV7-4-1*04	IGHJ1*01
5	IGHV7-4-1*05	IGHJ6*04
5	IGHV8-51-1*02	IGHJ2*01
4	IGHV1-18*03	IGHJ6*01
4	IGHV1-18*03	IGHJ6*03
4	IGHV1-2*01	IGHJ6*03
4	IGHV1-2*02	IGHJ5*01
4	IGHV1-24*01	IGHJ2*01
4	IGHV1-3*04	IGHJ3*01
4	IGHV1-38-4*01	IGHJ1*01
4	IGHV1-45*01	IGHJ2*01
4	IGHV1-45*01	IGHJ4*01
4	IGHV1-45*02	IGHJ6*03
4	IGHV1-45*03	IGHJ3*02
4	IGHV1-45*03	IGHJ6*01
4	IGHV1-46*01	IGHJ6*03
4	IGHV1-46*04	IGHJ6*01
4	IGHV1-58*01	IGHJ6*04
4	IGHV1-58*02	IGHJ5*03
4	IGHV1-68*01	IGHJ3*02
4	IGHV1-68*02	IGHJ2*01
4	IGHV1-68*02	IGHJ5*01
4	IGHV1-68*02	IGHJ6*01
4	IGHV1-68*02	IGHJ6*04
4	IGHV1-68*03	IGHJ3*01
4	IGHV1-68*03	IGHJ3*02
4	IGHV1-69*15	IGHJ6*02
4	IGHV1-8*01	IGHJ6*03
4	IGHV1-8*03	IGHJ2*01
4	IGHV1-NL1*01	IGHJ3*01
4	IGHV2-26*02	IGHJ6*01
4	IGHV2-26*03	IGHJ6*01
4	IGHV2-5*06	IGHJ6*04
4	IGHV2-5*08	IGHJ6*02
4	IGHV2-70*01	IGHJ6*01
4	IGHV2-70*03	IGHJ6*01
4	IGHV2-70*05	IGHJ6*02
4	IGHV2-70*10	IGHJ4*01
4	IGHV2-70*10	IGHJ6*02
4	IGHV2-70D*23	IGHJ6*01
4	IGHV3-13*03	IGHJ4*01
4	IGHV3-16*04	IGHJ3*01
4	IGHV3-22*01	IGHJ2*01
4	IGHV3-30*11	IGHJ3*01
4	IGHV3-30-2*01	IGHJ1*01
4	IGHV3-30-2*03	IGHJ3*01
4	IGHV3-30-2*03	IGHJ4*01
4	IGHV3-30-3*02	IGHJ6*03
4	IGHV3-30-33*02	IGHJ2*01
4	IGHV3-32*01	IGHJ2*01
4	IGHV3-32*01	IGHJ5*01
4	IGHV3-33*07	IGHJ3*01
4	IGHV3-33-2*01	IGHJ2*01
4	IGHV3-38*01	IGHJ3*01
4	IGHV3-38*01	IGHJ6*01
4	IGHV3-47*02	IGHJ6*03
4	IGHV3-49*02	IGHJ6*03
4	IGHV3-52*01	IGHJ3*01
4	IGHV3-52*01	IGHJ4*01
4	IGHV3-52*02	IGHJ3*01
4	IGHV3-54*02	IGHJ2*01
4	IGHV3-62*01	IGHJ2*01
4	IGHV3-62*03	IGHJ2*01
4	IGHV3-63*01	IGHJ6*04
4	IGHV3-64*02	IGHJ2*01
4	IGHV3-64*02	IGHJ6*03
4	IGHV3-71*02	IGHJ5*03
4	IGHV3-72*01	IGHJ2*01
4	IGHV3-73*01	IGHJ3*02
4	IGHV3-74*02	IGHJ3*01
4	IGHV3-9*01	IGHJ3*02
4	IGHV3-9*02	IGHJ3*01
4	IGHV3-NL1*01	IGHJ6*02
4	IGHV4-28*02	IGHJ2*01
4	IGHV4-30-2*05	IGHJ2*01
4	IGHV4-30-2*06	IGHJ6*02
4	IGHV4-30-4*02	IGHJ3*02
4	IGHV4-39*08	IGHJ3*01
4	IGHV4-39*09	IGHJ6*01
4	IGHV5-51*03	IGHJ3*01
4	IGHV5-51*04	IGHJ6*02
4	IGHV7-34-1*01	IGHJ1*01
4	IGHV7-34-1*01	IGHJ5*03
4	IGHV7-34-1*02	IGHJ6*02
4	IGHV7-4-1*01	IGHJ1*01
4	IGHV7-4-1*01	IGHJ6*03
4	IGHV7-4-1*04	IGHJ2*01
4	IGHV7-4-1*04	IGHJ6*01
3	IGHV1-24*01	IGHJ1*01
3	IGHV1-24*01	IGHJ3*02
3	IGHV1-3*01	IGHJ3*01
3	IGHV1-46*01	IGHJ1*01
3	IGHV1-46*01	IGHJ6*02
3	IGHV1-46*02	IGHJ6*02
3	IGHV1-46*02	IGHJ6*03
3	IGHV1-46*04	IGHJ6*04
3	IGHV1-58*01	IGHJ6*01
3	IGHV1-58*01	IGHJ6*03
3	IGHV1-58*02	IGHJ6*02
3	IGHV1-68*01	IGHJ6*04
3	IGHV1-68*02	IGHJ4*01
3	IGHV1-68*02	IGHJ4*02
3	IGHV1-68*03	IGHJ6*04
3	IGHV1-69*01	IGHJ6*02
3	IGHV1-69*02	IGHJ6*03
3	IGHV1-69*08	IGHJ6*03
3	IGHV1-69*11	IGHJ6*01
3	IGHV1-69*11	IGHJ6*03
3	IGHV1-69-2*01	IGHJ3*01
3	IGHV1-69-2*01	IGHJ6*02
3	IGHV1-69*21	IGHJ6*02
3	IGHV1-8*01	IGHJ6*04
3	IGHV1-NL1*01	IGHJ2*01
3	IGHV1-NL1*01	IGHJ3*02
3	IGHV1-NL1*01	IGHJ4*01
3	IGHV2-10*01	IGHJ6*04
3	IGHV2-10*02	IGHJ1*01
3	IGHV2-26*01	IGHJ5*01
3	IGHV2-26*01	IGHJ6*01
3	IGHV2-26*01	IGHJ6*02
3	IGHV2-26*04	IGHJ3*02
3	IGHV2-26*05	IGHJ3*01
3	IGHV2-5*06	IGHJ6*02
3	IGHV2-70*04	IGHJ3*02
3	IGHV2-70*05	IGHJ6*03
3	IGHV2-70*08	IGHJ3*01
3	IGHV2-70*16	IGHJ6*02
3	IGHV2-70*17	IGHJ6*01
3	IGHV2-70*17	IGHJ6*03
3	IGHV3-15*03	IGHJ6*01
3	IGHV3-15*06	IGHJ3*01
3	IGHV3-15*06	IGHJ6*03
3	IGHV3-16*03	IGHJ2*01
3	IGHV3-16*03	IGHJ3*01
3	IGHV3-19*01	IGHJ6*01
3	IGHV3-19*02	IGHJ6*03
3	IGHV3-20*01	IGHJ2*01
3	IGHV3-23*03	IGHJ3*01
3	IGHV3-25*01	IGHJ3*01
3	IGHV3-25*04	IGHJ6*01
3	IGHV3-29*02	IGHJ1*01
3	IGHV3-29*02	IGHJ5*01
3	IGHV3-30*10	IGHJ6*01
3	IGHV3-30*13	IGHJ6*02
3	IGHV3-30*13	IGHJ6*04
3	IGHV3-30*15	IGHJ5*03
3	IGHV3-30-2*01	IGHJ2*01
3	IGHV3-30-2*03	IGHJ1*01
3	IGHV3-30-2*03	IGHJ3*02
3	IGHV3-30-2*03	IGHJ6*04
3	IGHV3-30-33*02	IGHJ6*03
3	IGHV3-30-33*02	IGHJ6*04
3	IGHV3-30-42*03	IGHJ5*01
3	IGHV3-30-52*01	IGHJ6*03
3	IGHV3-32*01	IGHJ5*04
3	IGHV3-33*04	IGHJ6*03
3	IGHV3-33*05	IGHJ6*01
3	IGHV3-33-2*01	IGHJ3*02
3	IGHV3-35*01	IGHJ6*03
3	IGHV3-38*03	IGHJ6*04
3	IGHV3-43D*06	IGHJ2*01
3	IGHV3-43D*06	IGHJ6*02
3	IGHV3-47*02	IGHJ6*04
3	IGHV3-49*01	IGHJ5*03
3	IGHV3-49*01	IGHJ6*01
3	IGHV3-49*04	IGHJ3*01
3	IGHV3-49*04	IGHJ3*02
3	IGHV3-52*03	IGHJ3*01
3	IGHV3-54*02	IGHJ3*02
3	IGHV3-62*01	IGHJ6*02
3	IGHV3-62*04	IGHJ6*03
3	IGHV3-64*01	IGHJ3*02
3	IGHV3-64*01	IGHJ6*03
3	IGHV3-64*02	IGHJ3*02
3	IGHV3-64D*06	IGHJ6*02
3	IGHV3-64D*08	IGHJ3*01
3	IGHV3-73*01	IGHJ6*02
3	IGHV3-9*03	IGHJ5*03
3	IGHV3-9*04	IGHJ6*02
3	IGHV4-28*06	IGHJ1*01
3	IGHV4-30-2*01	IGHJ3*02
3	IGHV4-30-2*02	IGHJ2*01
3	IGHV4-30-2*05	IGHJ3*02
3	IGHV4-30-4*02	IGHJ2*01
3	IGHV4-31*01	IGHJ2*01
3	IGHV4-31*01	IGHJ6*04
